ID,YEAR,INCOM16,CONINC,DEGREE,PADEG,MADEG,SPDEG,MAWRKGRW,FEFAM,FECHLD,CONPRESS,CONJUDGE,CONLEGIS,GOD,HAPPY,NATENVIY,EQWLTH,ABANY,CAPPUN,RES16,NATEDUCY
602,1976,3,15607,0,1,0,0,0,0,0,8,2,3,0,2,0,0,0,1,2,0
1312,1976,1,35471,1,7,8,1,0,0,0,3,2,2,0,2,0,0,0,1,4,0
334,1976,2,0,0,0,0,7,0,0,0,2,1,2,0,2,0,0,0,1,2,0
1557,1976,4,15607,1,0,0,7,0,0,0,3,3,3,0,2,0,0,0,1,1,0
1463,1976,3,9932,0,8,0,7,0,0,0,8,8,2,0,1,0,0,0,2,2,0
1336,1976,2,9932,0,4,1,0,0,0,0,3,3,3,0,1,0,0,0,2,1,0
282,1976,2,49659,0,0,0,0,0,0,0,2,2,1,0,2,0,0,0,1,6,0
634,1976,3,90726,3,0,1,3,0,0,0,3,2,2,0,2,0,0,0,1,3,0
596,1976,3,49659,1,0,0,7,0,0,0,1,1,1,0,3,0,0,0,1,3,0
1427,1976,3,49659,1,0,1,1,0,0,0,1,1,2,0,1,0,0,0,1,3,0
157,1976,2,21283,1,0,0,0,0,0,0,2,3,3,0,3,0,0,0,1,3,0
219,1976,3,25539,1,0,1,1,0,0,0,2,2,3,0,1,0,0,0,1,2,0
1740,1976,2,5675,0,0,0,7,0,0,0,8,2,2,0,1,0,0,0,1,1,0
1017,1976,2,49659,0,7,1,1,0,0,0,2,2,3,0,3,0,0,0,2,4,0
262,1976,2,25539,1,0,0,1,0,0,0,2,1,3,0,2,0,0,0,2,3,0
1258,1976,3,35471,1,1,8,1,0,0,0,3,3,3,0,1,0,0,0,1,3,0
709,1976,2,35471,0,0,0,0,0,0,0,2,1,2,0,2,0,0,0,2,2,0
1520,1976,3,35471,3,0,0,7,0,0,0,1,2,2,0,3,0,0,0,1,4,0
158,1976,4,90726,1,3,1,7,0,0,0,2,1,2,0,2,0,0,0,1,3,0
567,1976,3,25539,0,0,0,0,0,0,0,8,1,3,0,2,0,0,0,2,2,0
618,1976,2,35471,0,0,0,1,0,0,0,2,1,2,0,1,0,0,0,2,3,0
